Year,Emirate En,Emirate Ar,Geo Coordinates,Nationality Group En,Nationality Group Ar,Gender En,Gender Ar,Total
2016,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Female,انثي,570
2016,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Male,ذكر,1593
2016,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,25
2016,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,37
2016,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,105
2016,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,337
2016,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,259
2016,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,356
2016,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,477
2016,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1620
2016,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,53
2016,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,89
2016,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,25
2016,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,96
2016,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,97
2016,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,157
2016,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,83
2016,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,207
2016,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,151
2016,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,204
2016,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,293
2016,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,913
2016,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,29
2016,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,29
2016,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,16
2016,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,47
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Female,انثي,445
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Male,ذكر,713
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Unknown,غير مبين,4
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Female,انثي,578
2017,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Male,ذكر,1522
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,19
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,32
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,101
2017,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,313
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,239
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,304
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,498
2017,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1561
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,64
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,61
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,40
2017,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,96
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,119
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,181
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,79
2017,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,205
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,136
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,172
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,295
2017,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,897
2017,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,21
2017,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,37
2017,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,20
2017,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,74
2018,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Female,انثي,447
2018,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Citizen,مواطن,Male,ذكر,711
2018,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Female,انثي,552
2018,Abu Dhabi,أبو ظبي,"24.4539° N, 54.3773° E",Expat,وافد,Male,ذكر,1495
2018,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Female,انثي,19
2018,Ajman,عجمان,"25.4052° N, 55.5136° E",Citizen,مواطن,Male,ذكر,42
2018,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Female,انثي,106
2018,Ajman,عجمان,"25.4052° N, 55.5136° E",Expat,وافد,Male,ذكر,358
2018,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Female,انثي,210
2018,Dubai,دبي,"25.2048° N, 55.2708° E",Citizen,مواطن,Male,ذكر,244
2018,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Female,انثي,550
2018,Dubai,دبي,"25.2048° N, 55.2708° E",Expat,وافد,Male,ذكر,1595
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Female,انثي,43
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Citizen,مواطن,Male,ذكر,74
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Female,انثي,18
2018,Fujairah,الفجيرة,"25.1288° N, 56.3265° E",Expat,وافد,Male,ذكر,116
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Female,انثي,120
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Citizen,مواطن,Male,ذكر,147
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Female,انثي,51
2018,Ras Al Khaima,رأس الخيمة,"25.8007° N, 55.9762° E",Expat,وافد,Male,ذكر,247
2018,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Female,انثي,116
2018,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Citizen,مواطن,Male,ذكر,172
2018,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Female,انثي,291
2018,Sharjah,الشارقة,"25.0754° N, 55.7578° E",Expat,وافد,Male,ذكر,900
2018,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Female,انثي,19
2018,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Citizen,مواطن,Male,ذكر,33
2018,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Female,انثي,12
2018,Umm Al Quawain,أم القيوين,"25.5426° N, 55.5475° E",Expat,وافد,Male,ذكر,96
